algorithm;seed;learning_rate;batch_size;d_hidden;N;mldg_beta;dropout;score;in_progress;test_score;params_test;params_train
deepar_mldg;0;0.005;64;16;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.0005;64;16;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.001;64;16;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.005;64;32;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.0005;64;32;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.001;64;32;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.005;64;64;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.0005;64;64;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.001;64;64;3;0.1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.005;64;16;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.0005;64;16;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.001;64;16;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.005;64;32;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.0005;64;32;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.001;64;32;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.005;64;64;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.0005;64;64;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.001;64;64;3;0.5;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.005;64;16;3;1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.0005;64;16;3;1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
deepar_mldg;0;0.001;64;16;3;1;0.3;;-1;;[test_set.d_lag, test_set.d_cov, d_emb, test_set.dim_output, d_hidden, dropout, N];[training_set.d_lag, training_set.d_cov, d_emb, training_set.dim_output, d_hidden, dropout, N]
